,p1,p2,p3,p4,p5,p6,p7,p8,p123,p567,lf
1981,3.0,6.5,4.0,5.0,6.5,5.5,9.0,2.5,13.5,21.0,42.0
1982,3.0,2.5,9.0,5.5,2.0,2.0,3.0,8.0,14.5,7.0,35.0
1983,7.0,9.0,7.0,2.5,2.0,1.5,9.0,8.0,23.0,12.5,46.0
1984,8.5,9.5,11.0,8.0,7.5,8.0,10.5,12.0,29.0,26.0,75.0
1985,8.0,10.0,8.0,7.5,6.0,9.0,9.0,5.0,26.0,24.0,62.5
1986,10.0,5.5,11.5,7.0,1.5,8.0,11.0,7.0,27.0,20.5,61.5
1987,3.25,5.0,5.75,4.75,3.5,8.25,5.5,6.75,14.0,17.25,42.75
1988,7.0,7.5,5.0,4.5,5.0,5.5,10.0,2.5,19.5,20.5,47.0
1989,5.333333333333333,3.6666666666666665,9.0,5.666666666666667,5.666666666666667,5.0,6.666666666666667,2.0,18.0,17.333333333333332,43.0
1990,2.0,5.0,3.0,6.0,16.5,4.5,7.0,4.5,10.0,28.0,48.5
1991,9.666666666666666,2.6666666666666665,4.333333333333333,7.0,5.0,5.666666666666667,3.3333333333333335,6.333333333333333,16.666666666666668,14.0,44.0
1992,6.5,5.5,4.5,2.0,2.5,3.0,11.5,6.0,16.5,17.0,41.5
1993,3.5,7.5,9.5,11.0,7.0,8.0,2.5,6.0,20.5,17.5,55.0
1994,5.5,5.5,8.25,9.0,6.25,3.25,2.75,3.25,19.25,12.25,43.75
1995,4.0,7.0,5.0,6.0,4.0,5.0,0.0,3.0,16.0,9.0,34.0
1996,4.0,6.333333333333333,7.666666666666667,7.333333333333333,7.0,6.666666666666667,6.0,6.0,18.0,19.666666666666668,51.0
1997,11.0,17.0,11.0,8.0,6.0,4.0,2.0,6.0,39.0,12.0,65.0
1998,4.5,7.5,8.0,5.5,9.0,9.0,5.5,7.5,20.0,23.5,56.5
1999,2.0,2.0,3.5,12.5,10.0,2.0,5.5,0.5,7.5,17.5,38.0
2000,1.5,9.0,15.0,6.0,8.0,11.0,7.5,3.5,25.5,26.5,61.5
2001,1.5,6.5,7.5,7.5,12.0,7.5,13.5,8.0,15.5,33.0,64.0
2002,6.0,6.333333333333333,6.666666666666667,3.6666666666666665,6.0,4.666666666666667,3.3333333333333335,4.333333333333333,19.0,14.0,41.0
2003,3.3333333333333335,5.333333333333333,5.666666666666667,6.0,7.0,7.333333333333333,8.0,4.666666666666667,14.333333333333334,22.333333333333332,47.333333333333336
2004,3.5,3.0,8.5,6.5,5.5,10.5,9.5,14.5,15.0,25.5,61.5
2005,3.0,4.0,4.5,10.5,12.0,5.0,4.0,6.5,11.5,21.0,49.5
2006,5.0,4.333333333333333,8.0,5.333333333333333,9.333333333333334,12.0,6.333333333333333,5.0,17.333333333333332,27.666666666666668,55.333333333333336
2007,7.333333333333333,7.0,5.0,4.333333333333333,5.333333333333333,2.6666666666666665,6.333333333333333,4.666666666666667,19.333333333333332,14.333333333333334,42.666666666666664
2008,2.0,2.6666666666666665,3.0,5.333333333333333,8.333333333333334,9.333333333333334,5.333333333333333,5.0,7.666666666666667,23.0,41.0
2009,7.0,4.0,8.666666666666666,9.333333333333334,6.0,6.0,8.333333333333334,6.0,19.666666666666668,20.333333333333332,55.333333333333336
2010,1.5,6.0,4.5,6.0,10.0,12.0,11.0,5.5,12.0,33.0,56.5
2011,3.5,8.5,6.0,11.5,10.0,12.5,7.0,2.5,18.0,29.5,61.5
2012,8.5,3.5,6.0,5.5,3.0,8.5,11.5,3.5,18.0,23.0,50.0
2013,2.6666666666666665,5.0,6.0,3.3333333333333335,11.0,9.666666666666666,7.666666666666667,6.0,13.666666666666666,28.333333333333332,51.33333333333333
2014,2.0,0.6666666666666666,6.333333333333333,4.333333333333333,6.0,8.0,10.666666666666666,6.333333333333333,9.0,24.666666666666668,44.33333333333333
2015,1.3333333333333333,4.666666666666667,5.666666666666667,11.666666666666666,6.0,4.333333333333333,6.333333333333333,5.0,11.666666666666666,16.666666666666668,45.0
2016,4.0,5.0,4.0,3.0,5.0,2.0,4.0,4.0,13.0,11.0,31.0
2017,3.0,8.0,7.333333333333333,5.0,5.0,6.0,13.333333333333334,4.0,18.333333333333332,24.333333333333332,51.66666666666667
